Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
329,1,STEP,353569425107464,353569426146033,1038569,-1
330,1,STEP,353569426167952,353569427224761,1056809,-1
331,1,STEP,353569427247620,353569428198835,951215,-1
332,1,STEP,353569428220955,353569429218373,997418,-1
333,1,STEP,353569429242229,353569430292765,1050536,-1
334,1,STEP,353569430315075,353569431349240,1034165,-1
335,1,STEP,353569431372032,353569432458619,1086587,-1
336,1,STEP,353569432481713,353569433495821,1014108,-1
337,1,STEP,353569433520063,353569434232333,712270,-1
338,1,STEP,353569434562145,353569435287104,724959,-1
339,1,STEP,353569435309840,353569436380469,1070629,-1
340,1,STEP,353569436402729,353569437532595,1129866,-1
341,1,STEP,353569437555397,353569438564635,1009238,-1
342,1,STEP,353569438586438,353569439695813,1109375,-1
343,1,STEP,353569439719585,353569440754305,1034720,-1
344,1,STEP,353569440777592,353569441495271,717679,-1
345,1,STEP,353569441517137,353569442544680,1027543,-1
346,1,STEP,353569442567184,353569443651580,1084396,-1
347,1,STEP,353569443673112,353569444791212,1118100,-1
348,1,STEP,353569444813709,353569445941578,1127869,-1
349,1,STEP,353569445964693,353569446964471,999778,-1
350,1,STEP,353569446987885,353569448065862,1077977,-1
351,1,STEP,353569448089106,353569449251820,1162714,-1
352,1,STEP,353569449274817,353569450084187,809370,-1
353,1,STEP,353569450106472,353569451322141,1215669,-1
354,1,STEP,353569451345229,353569452529532,1184303,-1
355,1,STEP,353569452553092,353569453624583,1071491,-1
356,1,STEP,353569453648867,353569454737184,1088317,-1
357,1,STEP,353569454760190,353569455845131,1084941,-1
358,1,STEP,353569455867727,353569456334753,467026,-1
359,1,STEP,353569456370286,353569457292649,922363,-1
360,1,STEP,353569457316029,353569458307202,991173,-1
361,1,STEP,353569458330876,353569459037495,706619,-1
362,1,STEP,353569459062192,353569460017821,955629,-1
363,1,STEP,353569460040293,353569460890801,850508,-1
364,1,STEP,353569461154280,353569461814810,660530,-1
365,1,STEP,353569462182388,353569462802916,620528,-1
366,1,STEP,353569462827031,353569463922890,1095859,-1
367,1,STEP,353569463945847,353569464934417,988570,-1
368,1,STEP,353569464957420,353569465959257,1001837,-1
369,1,STEP,353569465981480,353569466932288,950808,-1
370,1,STEP,353569466955323,353569467874192,918869,-1
371,1,STEP,353569467898141,353569468888706,990565,-1
372,1,STEP,353569468910451,353569469867410,956959,-1
373,1,STEP,353569469890167,353569470922615,1032448,-1
374,1,STEP,353569470944187,353569471946986,1002799,-1
375,1,STEP,353569471968287,353569472923298,955011,-1
376,1,STEP,353569472945063,353569473933864,988801,-1
377,1,STEP,353569473956238,353569474639755,683517,-1
378,1,STEP,353569474661817,353569475717932,1056115,-1
379,1,STEP,353569475739734,353569476803895,1064161,-1
380,1,STEP,353569476825988,353569477825211,999223,-1
381,1,STEP,353569477848240,353569478510478,662238,-1
382,1,STEP,353569478532276,353569479400482,868206,-1
383,1,STEP,353569479422759,353569480343717,920958,-1
384,1,STEP,353569480367586,353569481345863,978277,-1
385,1,STEP,353569481368297,353569482183886,815589,-1
386,1,STEP,353569482206720,353569483054036,847316,-1
387,1,STEP,353569483076218,353569483968740,892522,-1
388,1,STEP,353569483991381,353569484969780,978399,-1
389,1,STEP,353569484992030,353569485840373,848343,-1
390,1,STEP,353569485863702,353569486475628,611926,-1
391,1,STEP,353569486497303,353569487359127,861824,-1
392,1,STEP,353569487381273,353569488198016,816743,-1
393,1,STEP,353569488220268,353569489077921,857653,-1
394,1,STEP,353569489100146,353569490040668,940522,-1
395,1,STEP,353569490062329,353569490927425,865096,-1
396,1,STEP,353569490948604,353569491870888,922284,-1
397,1,STEP,353569491893647,353569492774735,881088,-1
398,1,STEP,353569492797177,353569493645546,848369,-1
399,1,STEP,353569493668333,353569494580457,912124,-1
400,1,STEP,353569494604965,353569495268024,663059,-1
401,1,STEP,353569495529828,353569496196205,666377,-1
402,1,STEP,353569496219167,353569497178215,959048,-1
403,1,STEP,353569497201840,353569498118939,917099,-1
404,1,STEP,353569498142707,353569499104933,962226,-1
405,1,STEP,353569499128318,353569499772030,643712,-1
406,1,STEP,353569500030114,353569500674226,644112,-1
407,1,STEP,353569500697300,353569501659360,962060,-1
408,1,STEP,353569501681557,353569502658987,977430,-1
409,1,STEP,353569502681990,353569503729666,1047676,-1
410,1,STEP,353569503751592,353569504796049,1044457,-1
411,1,STEP,353569504818828,353569505833645,1014817,-1
412,1,STEP,353569505856334,353569506791828,935494,-1
413,1,STEP,353569506814782,353569507773640,958858,-1
414,1,STEP,353569507797242,353569508507616,710374,-1
415,1,STEP,353569508530300,353569509542070,1011770,-1
416,1,STEP,353569509565702,353569510571877,1006175,-1
417,1,STEP,353569510594500,353569511733224,1138724,-1
418,1,STEP,353569511755013,353569512797985,1042972,-1
419,1,STEP,353569512820463,353569513868645,1048182,-1
420,1,STEP,353569513891162,353569514958909,1067747,-1
421,1,STEP,353569514981369,353569516080800,1099431,-1
422,1,STEP,353569516103664,353569516756019,652355,-1
423,1,STEP,353569516777892,353569517640270,862378,-1
424,1,STEP,353569517662269,353569518586004,923735,-1
425,1,STEP,353569518608534,353569519491225,882691,-1
426,1,STEP,353569519513180,353569520481640,968460,-1
427,1,STEP,353569520504274,353569521423450,919176,-1
428,1,STEP,353569521449682,353569522388390,938708,-1
429,1,STEP,353569522409727,353569523358824,949097,-1
430,1,STEP,353569523380644,353569524378130,997486,-1
431,1,STEP,353569524425727,353569525370102,944375,-1
432,1,STEP,353569525392523,353569526375573,983050,-1
433,1,STEP,353569526396927,353569527368296,971369,-1
434,1,STEP,353569527390527,353569528444991,1054464,-1
435,1,STEP,353569528467603,353569529460155,992552,-1
436,1,STEP,353569529487217,353569530264036,776819,-1
437,1,STEP,353569530448513,353569531108754,660241,-1
438,1,STEP,353569531505641,353569532160878,655237,-1
439,1,STEP,353569532183595,353569533261546,1077951,-1
440,1,STEP,353569533284917,353569533949437,664520,-1
441,1,STEP,353569533972046,353569534931834,959788,-1
442,1,STEP,353569534954751,353569535582530,627779,-1
443,1,STEP,353569535605131,353569536663196,1058065,-1
444,1,STEP,353569536685617,353569537751644,1066027,-1
445,1,STEP,353569537773254,353569538844901,1071647,-1
446,1,STEP,353569538866861,353569539880834,1013973,-1
447,1,STEP,353569539903688,353569541014292,1110604,-1
448,1,STEP,353569541037069,353569542062265,1025196,-1
449,1,STEP,353569542083712,353569542839444,755732,-1
450,1,STEP,353569542860615,353569543644845,784230,-1
451,1,STEP,353569543668276,353569544782223,1113947,-1
452,1,STEP,353569544803990,353569545892275,1088285,-1
453,1,STEP,353569545916607,353569547032117,1115510,-1
454,1,STEP,353569547059542,353569548176145,1116603,-1
