Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
124,1.08425e-66,0.151907,5000,0.892578,16.1025,0.892578,0,0.0517578,0.0517578
125,1.08053e-66,0.151911,5000,0.886719,16.1094,0.885742,0.000976562,0.0566406,0.0566406
126,1.09116e-66,0.151898,5000,0.905273,16.0898,0.905273,0,0.0390625,0.0390625
127,1.08638e-66,0.151904,5000,0.896484,16.1006,0.896484,0,0.0458984,0.0458984
128,1.08213e-66,0.151909,5000,0.888672,16.1055,0.888672,0,0.0595703,0.0595703
129,1.0816e-66,0.15191,5000,0.887695,16.1113,0.887695,0,0.0410156,0.0410156
130,1.08584e-66,0.151905,5000,0.895508,16.1025,0.895508,0,0.0449219,0.0449219
131,1.08691e-66,0.151904,5000,0.897461,16.1035,0.897461,0,0.046875,0.046875
132,1.08213e-66,0.151909,5000,0.888672,16.1025,0.888672,0,0.046875,0.046875
133,1.08213e-66,0.151909,5000,0.888672,16.1055,0.888672,0,0.0439453,0.0439453
134,1.07947e-66,0.151912,5000,0.883789,16.1123,0.883789,0,0.0507812,0.0507812
135,1.08691e-66,0.151904,5000,0.897461,16.0986,0.897461,0,0.0527344,0.0527344
136,1.08638e-66,0.151904,5000,0.896484,16.0967,0.896484,0,0.0498047,0.0498047
137,1.07416e-66,0.151919,5000,0.874023,16.1172,0.874023,0,0.0576172,0.0576172
138,1.08053e-66,0.151911,5000,0.885742,16.1084,0.885742,0,0.0458984,0.0458984
139,1.08053e-66,0.151911,5000,0.886719,16.1104,0.885742,0.000976562,0.0507812,0.0507812
140,1.08319e-66,0.151908,5000,0.891602,16.1113,0.891602,0,0.0517578,0.0517578
141,1.07203e-66,0.151921,5000,0.871094,16.1328,0.871094,0,0.0673828,0.0673828
142,1.07735e-66,0.151915,5000,0.880859,16.1172,0.880859,0,0.0527344,0.0527344
143,1.08531e-66,0.151905,5000,0.895508,16.1035,0.895508,0,0.0380859,0.0380859
144,1.08372e-66,0.151907,5000,0.892578,16.1064,0.892578,0,0.0488281,0.0488281
145,1.08638e-66,0.151904,5000,0.896484,16.1035,0.896484,0,0.0410156,0.0410156
146,1.07788e-66,0.151914,5000,0.880859,16.1182,0.880859,0,0.0585938,0.0585938
147,1.0816e-66,0.15191,5000,0.887695,16.1133,0.887695,0,0.0458984,0.0458984
148,1.0731e-66,0.15192,5000,0.87207,16.124,0.87207,0,0.0537109,0.0537109
149,1.06938e-66,0.151924,5000,0.865234,16.127,0.865234,0,0.0517578,0.0517578
150,1.06991e-66,0.151924,5000,0.866211,16.1289,0.866211,0,0.0478516,0.0478516
151,1.07788e-66,0.151914,5000,0.880859,16.1113,0.880859,0,0.0429688,0.0429688
152,1.08478e-66,0.151906,5000,0.893555,16.0996,0.893555,0,0.0498047,0.0498047
153,1.08638e-66,0.151904,5000,0.896484,16.0938,0.896484,0,0.0429688,0.0429688
154,1.0885e-66,0.151902,5000,0.900391,16.0938,0.900391,0,0.046875,0.046875
155,1.09116e-66,0.151898,5000,0.905273,16.085,0.905273,0,0.0507812,0.0507812
156,1.09328e-66,0.151896,5000,0.90918,16.0859,0.90918,0,0.0498047,0.0498047
157,1.08638e-66,0.151904,5000,0.896484,16.1006,0.896484,0,0.0556641,0.0556641
158,1.08372e-66,0.151907,5000,0.891602,16.1055,0.891602,0,0.0556641,0.0556641
159,1.08425e-66,0.151907,5000,0.908203,16.0928,0.892578,0.015625,0.0507812,0.0507812
160,1.08266e-66,0.151909,5000,0.9375,16.0693,0.889648,0.0478516,0.0429688,0.0429688
161,1.08584e-66,0.151905,5000,0.96582,16.04,0.895508,0.0703125,0.0498047,0.0498047
162,1.08266e-66,0.151909,5000,0.952148,16.043,0.889648,0.0625,0.0546875,0.0546875
163,1.08425e-66,0.151907,5000,0.926758,16.0674,0.892578,0.0341797,0.0498047,0.0498047
164,1.08584e-66,0.151905,5000,0.914062,16.0811,0.895508,0.0185547,0.0488281,0.0488281
165,1.08478e-66,0.151906,5000,0.908203,16.0918,0.893555,0.0146484,0.046875,0.046875
166,1.08372e-66,0.151907,5000,0.896484,16.1035,0.891602,0.00488281,0.0488281,0.0488281
167,1.07841e-66,0.151914,5000,0.881836,16.1172,0.881836,0,0.0537109,0.0537109
168,1.07841e-66,0.151914,5000,0.881836,16.1191,0.881836,0,0.0566406,0.0566406
169,1.07947e-66,0.151912,5000,0.883789,16.1172,0.883789,0,0.0527344,0.0527344
170,1.07735e-66,0.151915,5000,0.879883,16.123,0.879883,0,0.0449219,0.0449219
171,1.08319e-66,0.151908,5000,0.890625,16.1064,0.890625,0,0.0478516,0.0478516
172,1.0885e-66,0.151902,5000,0.900391,16.0957,0.900391,0,0.0371094,0.0371094
173,1.07469e-66,0.151918,5000,0.875,16.124,0.875,0,0.0673828,0.0673828
174,1.07628e-66,0.151916,5000,0.87793,16.1221,0.87793,0,0.0390625,0.0390625
175,1.07947e-66,0.151912,5000,0.883789,16.1133,0.883789,0,0.0488281,0.0488281
176,1.07575e-66,0.151917,5000,0.876953,16.1182,0.876953,0,0.0507812,0.0507812
177,1.0731e-66,0.15192,5000,0.87207,16.1172,0.87207,0,0.0478516,0.0478516
178,1.07575e-66,0.151917,5000,0.876953,16.1123,0.876953,0,0.0498047,0.0498047
179,1.08053e-66,0.151911,5000,0.885742,16.1064,0.885742,0,0.0458984,0.0458984
180,1.08053e-66,0.151911,5000,0.885742,16.1133,0.885742,0,0.0556641,0.0556641
181,1.08372e-66,0.151907,5000,0.891602,16.1104,0.891602,0,0.0507812,0.0507812
182,1.0885e-66,0.151902,5000,0.900391,16.0947,0.900391,0,0.0458984,0.0458984
183,1.08425e-66,0.151907,5000,0.892578,16.1055,0.892578,0,0.0576172,0.0576172
184,1.08584e-66,0.151905,5000,0.895508,16.1035,0.895508,0,0.0527344,0.0527344
185,1.08372e-66,0.151907,5000,0.892578,16.1104,0.891602,0.000976562,0.0576172,0.0576172
186,1.08213e-66,0.151909,5000,0.889648,16.1113,0.888672,0.000976562,0.0429688,0.0429688
187,1.08531e-66,0.151905,5000,0.894531,16.1074,0.894531,0,0.0488281,0.0488281
188,1.08903e-66,0.151901,5000,0.901367,16.0967,0.901367,0,0.0537109,0.0537109
189,1.08691e-66,0.151904,5000,0.897461,16.0977,0.897461,0,0.0449219,0.0449219
190,1.08691e-66,0.151904,5000,0.897461,16.1016,0.897461,0,0.0498047,0.0498047
191,1.08266e-66,0.151909,5000,0.889648,16.1055,0.889648,0,0.0517578,0.0517578
192,1.08691e-66,0.151904,5000,0.897461,16.0957,0.897461,0,0.0478516,0.0478516
193,1.08372e-66,0.151907,5000,0.891602,16.1104,0.891602,0,0.0449219,0.0449219
194,1.07735e-66,0.151915,5000,0.879883,16.1162,0.879883,0,0.0595703,0.0595703
195,1.08478e-66,0.151906,5000,0.893555,16.0957,0.893555,0,0.0498047,0.0498047
196,1.08903e-66,0.151901,5000,0.901367,16.0898,0.901367,0,0.0488281,0.0488281
197,1.09434e-66,0.151895,5000,0.911133,16.085,0.911133,0,0.03125,0.03125
198,1.08372e-66,0.151907,5000,0.891602,16.1035,0.891602,0,0.0527344,0.0527344
199,1.08584e-66,0.151905,5000,0.896484,16.0996,0.895508,0.000976562,0.0449219,0.0449219
200,1.07894e-66,0.151913,5000,0.882812,16.1152,0.882812,0,0.0654297,0.0654297
201,1.07363e-66,0.151919,5000,0.873047,16.127,0.873047,0,0.0517578,0.0517578
202,1.07257e-66,0.151921,5000,0.871094,16.125,0.871094,0,0.0585938,0.0585938
203,1.07522e-66,0.151917,5000,0.875977,16.1211,0.875977,0,0.0517578,0.0517578
204,1.07682e-66,0.151915,5000,0.878906,16.1221,0.878906,0,0.0498047,0.0498047
205,1.07575e-66,0.151917,5000,0.876953,16.126,0.876953,0,0.0507812,0.0507812
206,1.07575e-66,0.151917,5000,0.876953,16.1348,0.876953,0,0.0488281,0.0488281
207,1.0731e-66,0.15192,5000,0.87207,16.1338,0.87207,0,0.0585938,0.0585938
208,1.0715e-66,0.151922,5000,0.869141,16.125,0.869141,0,0.0566406,0.0566406
209,1.07522e-66,0.151917,5000,0.875977,16.126,0.875977,0,0.0546875,0.0546875
210,1.07044e-66,0.151923,5000,0.867188,16.1289,0.867188,0,0.0625,0.0625
211,1.07416e-66,0.151919,5000,0.874023,16.1172,0.874023,0,0.0498047,0.0498047
212,1.08e-66,0.151912,5000,0.884766,16.1084,0.884766,0,0.0507812,0.0507812
213,1.08478e-66,0.151906,5000,0.893555,16.1016,0.893555,0,0.0400391,0.0400391
214,1.08638e-66,0.151904,5000,0.896484,16.0996,0.896484,0,0.0488281,0.0488281
215,1.09541e-66,0.151893,5000,0.913086,16.0889,0.913086,0,0.0419922,0.0419922
216,1.08372e-66,0.151907,5000,0.891602,16.1074,0.891602,0,0.0605469,0.0605469
217,1.08956e-66,0.1519,5000,0.902344,16.0928,0.902344,0,0.0488281,0.0488281
218,1.08638e-66,0.151904,5000,0.896484,16.1016,0.896484,0,0.0517578,0.0517578
219,1.08106e-66,0.15191,5000,0.886719,16.1084,0.886719,0,0.0605469,0.0605469
220,1.07735e-66,0.151915,5000,0.879883,16.1162,0.879883,0,0.0644531,0.0644531
221,1.09009e-66,0.1519,5000,0.90332,16.0938,0.90332,0,0.0371094,0.0371094
222,1.09009e-66,0.1519,5000,0.90332,16.0957,0.90332,0,0.0380859,0.0380859
223,1.08638e-66,0.151904,5000,0.896484,16.1045,0.896484,0,0.0498047,0.0498047
224,1.08744e-66,0.151903,5000,0.898438,16.1006,0.898438,0,0.0517578,0.0517578
225,1.09381e-66,0.151895,5000,0.910156,16.085,0.910156,0,0.0419922,0.0419922
226,1.09009e-66,0.1519,5000,0.90332,16.0918,0.90332,0,0.0458984,0.0458984
227,1.08531e-66,0.151905,5000,0.894531,16.0947,0.894531,0,0.0458984,0.0458984
228,1.08372e-66,0.151907,5000,0.891602,16.0957,0.891602,0,0.0478516,0.0478516
229,1.0885e-66,0.151902,5000,0.900391,16.0947,0.900391,0,0.0546875,0.0546875
230,1.09328e-66,0.151896,5000,0.90918,16.0879,0.90918,0,0.0439453,0.0439453
231,1.08744e-66,0.151903,5000,0.898438,16.0947,0.898438,0,0.0546875,0.0546875
232,1.09381e-66,0.151895,5000,0.910156,16.0879,0.910156,0,0.0410156,0.0410156
233,1.07841e-66,0.151914,5000,0.881836,16.1152,0.881836,0,0.0634766,0.0634766
234,1.07469e-66,0.151918,5000,0.875,16.1221,0.875,0,0.0527344,0.0527344
235,1.07522e-66,0.151917,5000,0.875977,16.1191,0.875977,0,0.0488281,0.0488281
236,1.08478e-66,0.151906,5000,0.893555,16.1055,0.893555,0,0.0478516,0.0478516
237,1.08319e-66,0.151908,5000,0.890625,16.1084,0.890625,0,0.0478516,0.0478516
238,1.07788e-66,0.151914,5000,0.880859,16.1221,0.880859,0,0.0498047,0.0498047
239,1.07735e-66,0.151915,5000,0.879883,16.125,0.879883,0,0.0458984,0.0458984
240,1.08531e-66,0.151905,5000,0.894531,16.1064,0.894531,0,0.046875,0.046875
241,1.07682e-66,0.151915,5000,0.878906,16.1221,0.878906,0,0.0517578,0.0517578
242,1.07788e-66,0.151914,5000,0.880859,16.127,0.880859,0,0.0605469,0.0605469
243,1.07735e-66,0.151915,5000,0.879883,16.1211,0.879883,0,0.0419922,0.0419922
244,1.07894e-66,0.151913,5000,0.882812,16.1152,0.882812,0,0.0439453,0.0439453
245,1.07788e-66,0.151914,5000,0.880859,16.1094,0.880859,0,0.0517578,0.0517578
246,1.08372e-66,0.151907,5000,0.891602,16.1133,0.891602,0,0.0517578,0.0517578
247,1.09169e-66,0.151898,5000,0.90625,16.0977,0.90625,0,0.046875,0.046875
248,1.08903e-66,0.151901,5000,0.901367,16.1064,0.901367,0,0.0478516,0.0478516
249,1.08744e-66,0.151903,5000,0.898438,16.1074,0.898438,0,0.0566406,0.0566406
250,1.09222e-66,0.151897,5000,0.907227,16.0938,0.907227,0,0.0371094,0.0371094
251,1.09009e-66,0.1519,5000,0.90332,16.0938,0.90332,0,0.0507812,0.0507812
252,1.08266e-66,0.151909,5000,0.889648,16.1113,0.889648,0,0.0537109,0.0537109
253,1.07947e-66,0.151912,5000,0.883789,16.1191,0.883789,0,0.0488281,0.0488281
254,1.07788e-66,0.151914,5000,0.880859,16.125,0.880859,0,0.0527344,0.0527344
255,1.07682e-66,0.151915,5000,0.878906,16.126,0.878906,0,0.0654297,0.0654297
256,1.08319e-66,0.151908,5000,0.890625,16.1074,0.890625,0,0.0498047,0.0498047
257,1.08425e-66,0.151907,5000,0.892578,16.0996,0.892578,0,0.0507812,0.0507812
258,1.08106e-66,0.15191,5000,0.886719,16.1123,0.886719,0,0.0566406,0.0566406
259,1.07575e-66,0.151917,5000,0.876953,16.127,0.876953,0,0.0517578,0.0517578
260,1.0731e-66,0.15192,5000,0.87207,16.1445,0.87207,0,0.0566406,0.0566406
