Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
231,1.14268e-66,0.151837,5000,1,16,1,0,0,0
232,1.14268e-66,0.151837,5000,1,16,1,0,0,0
233,1.14268e-66,0.151837,5000,1,16,1,0,0,0
234,1.14268e-66,0.151837,5000,1,16,1,0,0,0
235,1.14268e-66,0.151837,5000,1,16,1,0,0,0
236,1.14268e-66,0.151837,5000,1,16,1,0,0,0
237,1.14268e-66,0.151837,5000,1,16,1,0,0,0
238,1.14268e-66,0.151837,5000,1,16,1,0,0,0
239,1.14268e-66,0.151837,5000,1,16,1,0,0,0
240,1.14268e-66,0.151837,5000,1,16,1,0,0,0
241,1.14268e-66,0.151837,5000,1,16,1,0,0,0
242,1.14268e-66,0.151837,5000,1,16,1,0,0,0
243,1.14268e-66,0.151837,5000,1,16,1,0,0,0
244,1.14268e-66,0.151837,5000,1,16,1,0,0,0
245,1.14268e-66,0.151837,5000,1,16,1,0,0,0
246,1.14268e-66,0.151837,5000,1,16,1,0,0,0
247,1.14268e-66,0.151837,5000,1,16,1,0,0,0
248,1.14268e-66,0.151837,5000,1,16,1,0,0,0
249,1.14268e-66,0.151837,5000,1,16,1,0,0,0
250,1.14268e-66,0.151837,5000,1,16,1,0,0,0
251,1.14268e-66,0.151837,5000,1,16,1,0,0,0
252,1.14268e-66,0.151837,5000,1,16,1,0,0,0
253,1.14268e-66,0.151837,5000,1,16,1,0,0,0
254,1.14268e-66,0.151837,5000,1,16,1,0,0,0
255,1.14268e-66,0.151837,5000,1,16,1,0,0,0
256,1.14268e-66,0.151837,5000,1,16,1,0,0,0
257,1.14268e-66,0.151837,5000,1,16,1,0,0,0
258,1.14268e-66,0.151837,5000,1,16,1,0,0,0
259,1.14268e-66,0.151837,5000,1,16,1,0,0,0
260,1.14268e-66,0.151837,5000,1,16,1,0,0,0
261,1.14268e-66,0.151837,5000,1,16,1,0,0,0
262,1.14268e-66,0.151837,5000,1,16,1,0,0,0
263,1.14268e-66,0.151837,5000,1,16,1,0,0,0
264,1.14268e-66,0.151837,5000,1,16,1,0,0,0
265,1.14268e-66,0.151837,5000,1,16,1,0,0,0
266,1.14268e-66,0.151837,5000,1,16,1,0,0,0
267,1.14268e-66,0.151837,5000,1,16,1,0,0,0
268,1.14268e-66,0.151837,5000,1,16,1,0,0,0
269,1.14268e-66,0.151837,5000,1,16,1,0,0,0
270,1.14268e-66,0.151837,5000,1,16,1,0,0,0
271,1.14268e-66,0.151837,5000,1,16,1,0,0,0
272,1.14268e-66,0.151837,5000,1,16,1,0,0,0
273,1.14268e-66,0.151837,5000,1,16,1,0,0,0
274,1.14268e-66,0.151837,5000,1,16,1,0,0,0
275,1.14268e-66,0.151837,5000,1,16,1,0,0,0
276,1.14268e-66,0.151837,5000,1,16,1,0,0,0
277,1.14268e-66,0.151837,5000,1,16,1,0,0,0
278,1.14268e-66,0.151837,5000,1,16,1,0,0,0
279,1.14268e-66,0.151837,5000,1,16,1,0,0,0
280,1.14268e-66,0.151837,5000,1,16,1,0,0,0
281,1.14268e-66,0.151837,5000,1,16,1,0,0,0
282,1.14268e-66,0.151837,5000,1,16,1,0,0,0
283,1.14268e-66,0.151837,5000,1,16,1,0,0,0
284,1.14268e-66,0.151837,5000,1,16,1,0,0,0
285,1.14268e-66,0.151837,5000,1,16,1,0,0,0
286,1.14268e-66,0.151837,5000,1,16,1,0,0,0
287,1.14268e-66,0.151837,5000,1,16,1,0,0,0
288,1.14268e-66,0.151837,5000,1,16,1,0,0,0
289,1.14268e-66,0.151837,5000,1,16,1,0,0,0
290,1.14268e-66,0.151837,5000,1,16,1,0,0,0
291,1.14268e-66,0.151837,5000,1,16,1,0,0,0
292,1.14268e-66,0.151837,5000,1,16,1,0,0,0
293,1.14268e-66,0.151837,5000,1,16,1,0,0,0
294,1.14268e-66,0.151837,5000,1,16,1,0,0,0
295,1.14268e-66,0.151837,5000,1,16,1,0,0,0
296,1.14268e-66,0.151837,5000,1,16,1,0,0,0
297,1.14268e-66,0.151837,5000,1,16,1,0,0,0
298,1.14268e-66,0.151837,5000,1,16,1,0,0,0
299,1.14268e-66,0.151837,5000,1,16,1,0,0,0
300,1.14268e-66,0.151837,5000,1,16,1,0,0,0
301,1.14268e-66,0.151837,5000,1,16,1,0,0,0
302,1.14268e-66,0.151837,5000,1,16,1,0,0,0
303,1.14268e-66,0.151837,5000,1,16,1,0,0,0
304,1.14268e-66,0.151837,5000,1,16,1,0,0,0
305,1.14268e-66,0.151837,5000,1,16,1,0,0,0
306,1.14268e-66,0.151837,5000,1,16,1,0,0,0
307,1.14268e-66,0.151837,5000,1,16,1,0,0,0
308,1.14268e-66,0.151837,5000,1,16,1,0,0,0
309,1.14268e-66,0.151837,5000,1,16,1,0,0,0
310,1.14268e-66,0.151837,5000,1,16,1,0,0,0
311,1.14268e-66,0.151837,5000,1,16,1,0,0,0
312,1.14268e-66,0.151837,5000,1,16,1,0,0,0
313,1.14268e-66,0.151837,5000,1,16,1,0,0,0
314,1.14268e-66,0.151837,5000,1,16,1,0,0,0
315,1.14268e-66,0.151837,5000,1,16,1,0,0,0
316,1.14268e-66,0.151837,5000,1,16,1,0,0,0
317,1.14268e-66,0.151837,5000,1,16,1,0,0,0
318,1.14268e-66,0.151837,5000,1,16,1,0,0,0
319,1.14268e-66,0.151837,5000,1,16,1,0,0,0
320,1.14268e-66,0.151837,5000,1,16,1,0,0,0
321,1.14268e-66,0.151837,5000,1,16,1,0,0,0
322,1.14268e-66,0.151837,5000,1,16,1,0,0,0
323,1.14268e-66,0.151837,5000,1,16,1,0,0,0
324,1.14268e-66,0.151837,5000,1,16,1,0,0,0
325,1.14268e-66,0.151837,5000,1,16,1,0,0,0
326,1.14268e-66,0.151837,5000,1,16,1,0,0,0
327,1.14268e-66,0.151837,5000,1,16,1,0,0,0
328,1.14268e-66,0.151837,5000,1,16,1,0,0,0
329,1.14268e-66,0.151837,5000,1,16,1,0,0,0
330,1.14268e-66,0.151837,5000,1,16,1,0,0,0
331,1.14268e-66,0.151837,5000,1,16,1,0,0,0
332,1.14268e-66,0.151837,5000,1,16,1,0,0,0
333,1.14268e-66,0.151837,5000,1,16,1,0,0,0
334,1.14268e-66,0.151837,5000,1,16,1,0,0,0
335,1.14268e-66,0.151837,5000,1,16,1,0,0,0
336,1.14268e-66,0.151837,5000,1,16,1,0,0,0
337,1.14268e-66,0.151837,5000,1,16,1,0,0,0
338,1.14268e-66,0.151837,5000,1,16,1,0,0,0
339,1.14268e-66,0.151837,5000,1,16,1,0,0,0
340,1.14268e-66,0.151837,5000,1,16,1,0,0,0
341,1.14268e-66,0.151837,5000,1,16,1,0,0,0
342,1.14268e-66,0.151837,5000,1,16,1,0,0,0
343,1.14268e-66,0.151837,5000,1,16,1,0,0,0
344,1.14268e-66,0.151837,5000,1,16,1,0,0,0
345,1.14268e-66,0.151837,5000,1,16,1,0,0,0
346,1.14268e-66,0.151837,5000,1,16,1,0,0,0
347,1.14268e-66,0.151837,5000,1,16,1,0,0,0
348,1.14268e-66,0.151837,5000,1,16,1,0,0,0
349,1.14268e-66,0.151837,5000,1,16,1,0,0,0
350,1.14268e-66,0.151837,5000,1,16,1,0,0,0
351,1.14268e-66,0.151837,5000,1,16,1,0,0,0
352,1.14268e-66,0.151837,5000,1,16,1,0,0,0
353,1.14268e-66,0.151837,5000,1,16,1,0,0,0
354,1.14268e-66,0.151837,5000,1,16,1,0,0,0
355,1.14268e-66,0.151837,5000,1,16,1,0,0,0
356,1.14268e-66,0.151837,5000,1,16,1,0,0,0
357,1.14268e-66,0.151837,5000,1,16,1,0,0,0
358,1.14268e-66,0.151837,5000,1,16,1,0,0,0
359,1.14268e-66,0.151837,5000,1,16,1,0,0,0
360,1.14268e-66,0.151837,5000,1,16,1,0,0,0
361,1.14268e-66,0.151837,5000,1,16,1,0,0,0
362,1.14268e-66,0.151837,5000,1,16,1,0,0,0
363,1.14268e-66,0.151837,5000,1,16,1,0,0,0
364,1.14268e-66,0.151837,5000,1,16,1,0,0,0
365,1.14268e-66,0.151837,5000,1,16,1,0,0,0
366,1.14268e-66,0.151837,5000,1,16,1,0,0,0
367,1.14268e-66,0.151837,5000,1,16,1,0,0,0
368,1.14268e-66,0.151837,5000,1,16,1,0,0,0
369,1.14268e-66,0.151837,5000,1,16,1,0,0,0
370,1.14268e-66,0.151837,5000,1,16,1,0,0,0
371,1.14268e-66,0.151837,5000,1,16,1,0,0,0
372,1.14268e-66,0.151837,5000,1,16,1,0,0,0
373,1.14268e-66,0.151837,5000,1,16,1,0,0,0
374,1.14268e-66,0.151837,5000,1,16,1,0,0,0
375,1.14268e-66,0.151837,5000,1,16,1,0,0,0
376,1.14268e-66,0.151837,5000,1,16,1,0,0,0
377,1.14268e-66,0.151837,5000,1,16,1,0,0,0
378,1.14268e-66,0.151837,5000,1,16,1,0,0,0
379,1.14268e-66,0.151837,5000,1,16,1,0,0,0
380,1.14268e-66,0.151837,5000,1,16,1,0,0,0
381,1.14268e-66,0.151837,5000,1,16,1,0,0,0
382,1.14268e-66,0.151837,5000,1,16,1,0,0,0
383,1.14268e-66,0.151837,5000,1,16,1,0,0,0
384,1.14268e-66,0.151837,5000,1,16,1,0,0,0
385,1.14268e-66,0.151837,5000,1,16,1,0,0,0
386,1.14268e-66,0.151837,5000,1,16,1,0,0,0
387,1.14268e-66,0.151837,5000,1,16,1,0,0,0
388,1.14268e-66,0.151837,5000,1,16,1,0,0,0
389,1.14268e-66,0.151837,5000,1,16,1,0,0,0
390,1.14268e-66,0.151837,5000,1,16,1,0,0,0
391,1.14268e-66,0.151837,5000,1,16,1,0,0,0
392,1.14268e-66,0.151837,5000,1,16,1,0,0,0
393,1.14268e-66,0.151837,5000,1,16,1,0,0,0
394,1.14268e-66,0.151837,5000,1,16,1,0,0,0
395,1.14268e-66,0.151837,5000,1,16,1,0,0,0
396,1.14268e-66,0.151837,5000,1,16,1,0,0,0
397,1.14268e-66,0.151837,5000,1,16,1,0,0,0
398,1.14268e-66,0.151837,5000,1,16,1,0,0,0
399,1.14268e-66,0.151837,5000,1,16,1,0,0,0
400,1.14268e-66,0.151837,5000,1,16,1,0,0,0
401,1.14268e-66,0.151837,5000,1,16,1,0,0,0
402,1.14268e-66,0.151837,5000,1,16,1,0,0,0
403,1.14268e-66,0.151837,5000,1,16,1,0,0,0
404,1.14268e-66,0.151837,5000,1,16,1,0,0,0
405,1.14268e-66,0.151837,5000,1,16,1,0,0,0
406,1.14268e-66,0.151837,5000,1,16,1,0,0,0
407,1.14268e-66,0.151837,5000,1,16,1,0,0,0
